0,1,2,3,4,5
(주)청호열처리,"연봉3,300만원이상",경력무관,(주)청호열처리생산관리직구인합니다.,등록일:2025-07-08,마감일:2025-09-07
(주)거하건설,"연봉7,000만원~8,000만원",경력5년,공사시공담당(부장),등록일:2025-07-08,마감일:2025-09-07
주식회사유호스트,"연봉3,000만원~4,000만원",경력무관,[정규직/주5일]에너지팀천안지사팀원(전기관련자격증우대),등록일:2025-07-08,마감일:2025-07-22
(주)가원,"연봉3,500만원~5,000만원",경력무관,(주)가원생산팀장채용공고,등록일:2025-07-08,마감일:2025-09-07
천마이엔지주식회사,"연봉4,000만원이상",경력20년,범용선반외기계제작관리자(공장장급)모집,등록일:2025-07-08,마감일:2025-08-07
주식회사현대에프피아이,상여별도250%,경력1년,청주하이닉스현장관리자모집(경력직),등록일:2025-07-08,마감일:2025-09-07
(주)소니가,"연봉4,800만원~4,800만원",경력무관,"식품제조생산팀주5일,정규직사원모집",등록일:2025-07-08,마감일:2025-07-26
(주)가원,"연봉3,000만원~3,350만원",경력무관,(주)가원품질관리부채용공고,등록일:2025-07-08,마감일:2025-09-07
（주）영화포장,상여별도100%,경력무관,영화포장출하관리모집,등록일:2025-07-08,마감일:2025-09-07
(주)카리,"연봉3,500만원~5,000만원",경력5년,생산현장관리직원모집,등록일:2025-07-08,마감일:2025-07-21
나래식품（주）,"연봉3,500만원이상",경력2년,나래식품(주)생산관리원모집,등록일:2025-07-08,마감일:2025-08-31
원강산업주식회사,"연봉4,200만원이상",경력3년,산업기계생산관리경력직모집,등록일:2025-07-08,마감일:2025-07-24
주식회사대송,"연봉3,600만원이상",경력2년,생산관리,등록일:2025-07-08,마감일:2025-08-29
하은테크주식회사,"연봉4,200만원~4,500만원",경력5년,"총괄관리자(품질,개발,기술,관리)모집",등록일:2025-07-08,마감일:2025-07-24
주식회사대성에너지,"연봉3,500만원~4,000만원",경력10년,공무,등록일:2025-07-08,마감일:2025-09-07
우정종합건설(주),"연봉5,000만원~6,000만원",경력3년,건설회사본사관리업무(경력직)모집합니다.,등록일:2025-07-08,마감일:2025-09-06
주식회사삼마,"연봉3,000만원~3,000만원",신입/경력,[강소기업]그랑커피캡슐생산오퍼레이터모집,등록일:2025-07-08,등록일:2025-07-08
케이씨글로비즈,"연봉2,800만원~4,000만원",신입/경력,"아동의류브랜드디자이너모집(신입,경력)",등록일:2025-07-08,마감일:2025-08-07
