"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-007","양화2주차장","1688","164423","2024/11"
"PLT-011","잠실1주차장","47794","1719407","2024/11"
"PLT-008","여의도1주차장","56305","8598046","2024/11"
"PLT-008","여의도2주차장","37991","4426531","2024/11"
"PLT-006","광나루3주차장","15513","1480689","2024/11"
"PLT-007","양화1주차장","7859","857875","2024/11"
"PLT-008","여의도2주차장","59690","4936564","2024/10"
"PLT-004","이촌1주차장","7605","431897","2024/10"
"PLT-005","뚝섬2주차장","27604","3612582","2024/10"
"PLT-006","광나루1,2주차장","28030","2423742","2024/10"
"PLT-001","강서1주차장","7440","632907","2024/10"
"PLT-004","이촌3주차장","2120","233867","2024/10"
"PLT-009","반포1주차장","33418","2045512","2024/10"
"PLT-003","망원2,3주차장","37305","3344499","2024/10"
"PLT-010","잠원2-6주차장","67578","6996943","2024/10"
"PLT-007","양화1주차장","9908","1066218","2024/10"
"PLT-009","반포2,3주차장","100191","9283405","2024/10"
"PLT-011","잠실1주차장","60104","2715536","2024/10"
"PLT-008","여의도3주차장","51216","11224188","2024/10"
"PLT-003","망원1주차장","12662","1224790","2024/10"
"PLT-006","광나루4주차장","8738","394173","2024/10"
"PLT-002","난지1,2,3주차장","72942","5231133","2024/10"
"PLT-004","이촌2주차장","9963","1011472","2024/10"
"PLT-004","이촌3,4주차장","31420","3163742","2024/10"
"PLT-008","여의도1주차장","75732","10629431","2024/10"
"PLT-008","여의도4주차장","6010","1438046","2024/10"
"PLT-008","여의도5주차장","10399","2437171","2024/10"
"PLT-007","양화3주차장","30486","3351496","2024/10"
"PLT-006","광나루3주차장","19765","1959969","2024/10"
"PLT-011","잠실4주차장","66793","4838349","2024/10"
"PLT-005","뚝섬1주차장","8365","756160","2024/10"
"PLT-010","잠원1주차장","17022","1477746","2024/10"
"PLT-005","뚝섬3주차장","15190","1737409","2024/10"
"PLT-007","양화2주차장","2568","269179","2024/10"
"PLT-005","뚝섬4주차장","23703","2628496","2024/10"
"PLT-006","광나루4주차장","8625","302320","2024/09"
"PLT-001","강서1주차장","7676","509490","2024/09"
"PLT-008","여의도1주차장","81055","9007093","2024/09"
"PLT-010","잠원1주차장","17692","1331661","2024/09"
"PLT-009","반포1주차장","34493","1721769","2024/09"
"PLT-007","양화3주차장","29460","2588210","2024/09"
"PLT-005","뚝섬4주차장","25429","2577729","2024/09"
"PLT-008","여의도3주차장","50408","9228666","2024/09"
"PLT-005","뚝섬2주차장","28881","3265827","2024/09"
"PLT-004","이촌1주차장","8067","334988","2024/09"
"PLT-011","잠실4주차장","64678","4165624","2024/09"
"PLT-006","광나루3주차장","18262","1561034","2024/09"
"PLT-007","양화2주차장","2153","217654","2024/09"
"PLT-003","망원1주차장","13828","1056716","2024/09"
"PLT-008","여의도2주차장","60515","4031993","2024/09"
"PLT-008","여의도5주차장","9691","1909938","2024/09"
"PLT-008","여의도4주차장","4134","1064221","2024/09"
"PLT-003","망원2,3주차장","38832","3139713","2024/09"
"PLT-004","이촌2주차장","10053","766341","2024/09"
"PLT-005","뚝섬3주차장","17302","1776127","2024/09"
"PLT-011","잠실1주차장","58719","2313885","2024/09"
"PLT-002","난지1,2,3주차장","73717","4375180","2024/09"
"PLT-010","잠원2-6주차장","66997","6175301","2024/09"
"PLT-006","광나루1,2주차장","27275","2052392","2024/09"
"PLT-005","뚝섬1주차장","8711","736902","2024/09"
"PLT-007","양화1주차장","9208","825013","2024/09"
"PLT-009","반포2,3주차장","101474","8249993","2024/09"
"PLT-004","이촌3,4주차장","33870","3024624","2024/09"
"PLT-004","이촌1주차장","6732","298610","2024/08"
"PLT-007","양화3주차장","22879","2108949","2024/08"
"PLT-007","양화2주차장","1761","157263","2024/08"
"PLT-005","뚝섬3주차장","16695","2190517","2024/08"
"PLT-002","난지1,2,3주차장","56304","3635426","2024/08"
"PLT-010","잠원1주차장","14324","1178517","2024/08"
"PLT-009","반포1주차장","27832","1064987","2024/08"
"PLT-003","망원1주차장","10823","891287","2024/08"
"PLT-011","잠실4주차장","62030","4224869","2024/08"
"PLT-005","뚝섬1주차장","7912","696138","2024/08"
"PLT-006","광나루1,2주차장","21333","1640315","2024/08"
"PLT-003","망원2,3주차장","33656","2666974","2024/08"
"PLT-008","여의도5주차장","9238","2281359","2024/08"
"PLT-008","여의도4주차장","4737","1258944","2024/08"
"PLT-001","강서1주차장","6368","421488","2024/08"
"PLT-005","뚝섬2주차장","23753","2792660","2024/08"
"PLT-008","여의도3주차장","49177","10939282","2024/08"
"PLT-006","광나루4주차장","8192","356021","2024/08"
"PLT-005","뚝섬4주차장","23132","2302487","2024/08"
"PLT-009","반포2,3주차장","87139","6341869","2024/08"
"PLT-008","여의도1주차장","69256","8748085","2024/08"
"PLT-004","이촌2주차장","7944","684038","2024/08"
"PLT-004","이촌3,4주차장","26179","2339036","2024/08"
"PLT-008","여의도2주차장","55385","4704776","2024/08"
"PLT-007","양화1주차장","6692","665331","2024/08"
"PLT-011","잠실1주차장","56777","2149513","2024/08"
"PLT-010","잠원2-6주차장","67525","7572638","2024/08"
"PLT-006","광나루3주차장","14366","1206039","2024/08"
"PLT-005","뚝섬3주차장","14026","1696151","2024/07"
"PLT-002","난지1,2,3주차장","47074","2730053","2024/07"
"PLT-009","반포2,3주차장","55222","3969247","2024/07"
"PLT-003","망원2,3주차장","28627","2340320","2024/07"
"PLT-008","여의도5주차장","7260","2041889","2024/07"
"PLT-009","반포1주차장","17350","707797","2024/07"
"PLT-003","망원1주차장","7908","706112","2024/07"
"PLT-001","강서1주차장","4965","325132","2024/07"
"PLT-005","뚝섬1주차장","6336","503997","2024/07"
"PLT-005","뚝섬2주차장","20736","2541654","2024/07"
"PLT-011","잠실1주차장","55956","1907070","2024/07"
"PLT-007","양화3주차장","21751","2019470","2024/07"
"PLT-005","뚝섬4주차장","20001","2040078","2024/07"
"PLT-004","이촌2주차장","7736","724087","2024/07"
"PLT-006","광나루1,2주차장","19361","1465986","2024/07"
"PLT-010","잠원1주차장","13215","1140943","2024/07"
"PLT-006","광나루4주차장","8556","360534","2024/07"
"PLT-008","여의도1주차장","57145","7970458","2024/07"
"PLT-008","여의도4주차장","4173","1355987","2024/07"
"PLT-007","양화2주차장","1566","111139","2024/07"
"PLT-010","잠원2-6주차장","58207","6422606","2024/07"
"PLT-006","광나루3주차장","12020","915406","2024/07"
"PLT-004","이촌3,4주차장","22951","2111484","2024/07"
"PLT-007","양화1주차장","6282","669116","2024/07"
"PLT-004","이촌1주차장","4544","276994","2024/07"
"PLT-011","잠실4주차장","59891","3805823","2024/07"
"PLT-008","여의도2주차장","41236","4179733","2024/07"
"PLT-008","여의도3주차장","41698","10475011","2024/07"
"PLT-003","망원1주차장","11593","1036409","2024/06"
"PLT-008","여의도4주차장","4017","1223596","2024/06"
"PLT-004","이촌1주차장","4978","267058","2024/06"
"PLT-005","뚝섬3주차장","18374","2062759","2024/06"
"PLT-011","잠실4주차장","64654","4730875","2024/06"
"PLT-008","여의도3주차장","45972","9840834","2024/06"
"PLT-006","광나루4주차장","6994","331951","2024/06"
"PLT-001","강서1주차장","6688","565246","2024/06"
"PLT-008","여의도2주차장","39934","4936032","2024/06"
"PLT-007","양화2주차장","2090","189296","2024/06"
"PLT-011","잠실1주차장","57130","2543195","2024/06"
"PLT-004","이촌2주차장","8945","890938","2024/06"
"PLT-004","이촌3,4주차장","28912","2825486","2024/06"
"PLT-002","난지1,2,3주차장","62472","4408036","2024/06"
"PLT-006","광나루1,2주차장","21373","1755384","2024/06"
"PLT-008","여의도1주차장","72683","9718734","2024/06"
"PLT-008","여의도5주차장","9155","2057257","2024/06"
"PLT-003","망원2,3주차장","32796","3103469","2024/06"
"PLT-009","반포2,3주차장","90727","7667329","2024/06"
"PLT-010","잠원1주차장","15806","1311750","2024/06"
"PLT-006","광나루3주차장","19316","1597087","2024/06"
"PLT-009","반포1주차장","28984","1638064","2024/06"
"PLT-007","양화3주차장","27359","2821282","2024/06"
"PLT-005","뚝섬2주차장","27623","3400581","2024/06"
"PLT-010","잠원2-6주차장","64633","6812941","2024/06"
"PLT-005","뚝섬1주차장","7931","750806","2024/06"
"PLT-007","양화1주차장","7965","846988","2024/06"
"PLT-005","뚝섬4주차장","23102","2330310","2024/06"
"PLT-006","광나루4주차장","7743","381074","2024/05"
"PLT-005","뚝섬2주차장","33364","4275424","2024/05"
"PLT-011","잠실1주차장","62795","2872911","2024/05"
"PLT-011","잠실4주차장","68177","4873989","2024/05"
"PLT-010","잠원1주차장","18032","1518881","2024/05"
"PLT-007","양화1주차장","9116","1012208","2024/05"
"PLT-008","여의도5주차장","8864","2141920","2024/05"
"PLT-008","여의도2주차장","41163","5372225","2024/05"
"PLT-003","망원1주차장","12965","1138412","2024/05"
"PLT-004","이촌2주차장","9601","969952","2024/05"
"PLT-002","난지1,2,3주차장","67516","4674420","2024/05"
"PLT-006","광나루1,2주차장","25607","2132356","2024/05"
"PLT-008","여의도1주차장","78238","10779879","2024/05"
"PLT-007","양화2주차장","2243","235861","2024/05"
"PLT-010","잠원2-6주차장","73714","7958695","2024/05"
"PLT-006","광나루3주차장","21409","1840175","2024/05"
"PLT-007","양화3주차장","30655","3311915","2024/05"
"PLT-005","뚝섬4주차장","25401","2685163","2024/05"
"PLT-004","이촌3,4주차장","36186","3603588","2024/05"
"PLT-008","여의도4주차장","4429","1293181","2024/05"
"PLT-003","망원2,3주차장","36529","3561832","2024/05"
"PLT-009","반포2,3주차장","103390","8891549","2024/05"
"PLT-008","여의도3주차장","49163","10785270","2024/05"
"PLT-005","뚝섬1주차장","8670","738957","2024/05"
"PLT-009","반포1주차장","32688","1937444","2024/05"
"PLT-004","이촌1주차장","5111","258382","2024/05"
"PLT-001","강서1주차장","6761","561043","2024/05"
"PLT-005","뚝섬3주차장","18758","2237224","2024/05"
"PLT-002","난지1,2,3주차장","61368","4682594","2024/04"
"PLT-009","반포1주차장","31805","1813745","2024/04"
"PLT-005","뚝섬4주차장","24893","2577780","2024/04"
"PLT-001","강서1주차장","6909","569881","2024/04"
"PLT-008","여의도3주차장","65546","12382870","2024/04"
"PLT-006","광나루1,2주차장","24592","2034268","2024/04"
"PLT-003","망원1주차장","13875","1180248","2024/04"
"PLT-006","광나루3주차장","21550","1828545","2024/04"
"PLT-007","양화3주차장","30488","3243435","2024/04"
"PLT-005","뚝섬2주차장","30839","4007833","2024/04"
"PLT-010","잠원1주차장","18522","1568930","2024/04"
"PLT-007","양화2주차장","2137","232653","2024/04"
"PLT-008","여의도2주차장","50302","5503328","2024/04"
"PLT-008","여의도1주차장","90101","11726491","2024/04"
"PLT-011","잠실1주차장","62316","2709162","2024/04"
"PLT-005","뚝섬3주차장","14077","1537272","2024/04"
"PLT-008","여의도5주차장","10066","2407235","2024/04"
"PLT-007","양화1주차장","9502","1053009","2024/04"
"PLT-011","잠실4주차장","69592","4923010","2024/04"
"PLT-004","이촌2주차장","10061","1049476","2024/04"
"PLT-009","반포2,3주차장","107250","8518845","2024/04"
"PLT-006","광나루4주차장","7777","388193","2024/04"
"PLT-004","이촌1주차장","5057","275095","2024/04"
"PLT-008","여의도4주차장","7064","1601129","2024/04"
"PLT-003","망원2,3주차장","35128","3486835","2024/04"
"PLT-004","이촌3,4주차장","34235","3262548","2024/04"
"PLT-005","뚝섬1주차장","8052","616317","2024/04"
"PLT-010","잠원2-6주차장","70660","7516660","2024/04"
"PLT-006","광나루1,2주차장","18190","1507666","2024/03"
"PLT-008","여의도1주차장","68109","8889427","2024/03"
"PLT-003","망원2,3주차장","29785","2746864","2024/03"
"PLT-007","양화1주차장","7380","894492","2024/03"
"PLT-008","여의도5주차장","9059","2251256","2024/03"
"PLT-006","광나루3주차장","16453","1270799","2024/03"
"PLT-007","양화3주차장","21537","1908499","2024/03"
"PLT-003","망원1주차장","11242","986768","2024/03"
"PLT-007","양화2주차장","1405","124750","2024/03"
"PLT-011","잠실4주차장","56405","3272491","2024/03"
"PLT-008","여의도4주차장","5058","1593246","2024/03"
"PLT-008","여의도2주차장","31031","4703446","2024/03"
