출발일시(start_dt),도착일시(arv_dt),출발지 코드(start_place_cd),도착지 코드(arv_place_cd),성별(sex_nm),연령대(agegrd_nm),출발 도착지 이동유형(start_arv_place_type),총이동시간(mvmn_time_sum),이동거리(mvmn_dstc),인구수(popl_cnt)
2019-09-30 15:40,2019-10-01 00:00,110063,360041,F,50,EH,499,309907,3.08
2019-09-30 15:40,2019-10-01 00:00,110224,110190,F,40,EE,496,453,3.44
2019-09-30 15:40,2019-10-01 00:00,110436,110497,M,45,WH,493,853,3.10
2019-09-30 15:40,2019-10-01 00:00,111687,110178,M,15,WH,501,8526,4.48
2019-09-30 15:40,2019-10-01 00:00,310025,110137,M,45,EE,498,24517,3.18
2019-09-30 15:40,2019-10-01 00:20,110411,110352,M,45,WH,520,3619,3.18
2019-09-30 15:40,2019-10-01 00:20,111200,111199,M,35,WH,519,284,2.70
2019-09-30 15:40,2019-10-01 00:20,111213,110138,M,55,WH,517,9777,3.31
2019-09-30 15:40,2019-10-01 00:20,111316,111456,M,20,EH,515,9351,2.70
2019-09-30 15:40,2019-10-01 00:20,111411,310966,M,45,EE,506,17929,3.18
2019-09-30 15:40,2019-10-01 00:40,110103,110090,M,45,EH,528,239,3.16
2019-09-30 15:40,2019-10-01 00:40,110432,110427,F,20,WH,549,1298,2.20
2019-09-30 15:40,2019-10-01 00:40,110915,110982,M,25,EE,535,2628,2.28
2019-09-30 15:40,2019-10-01 00:40,111067,111138,M,60,WH,538,3082,3.53
2019-09-30 15:40,2019-10-01 00:40,111416,111416,M,55,EH,532,284,3.27
2019-09-30 15:40,2019-10-01 00:40,111704,111616,M,50,EE,533,6038,3.26
2019-09-30 15:40,2019-10-01 00:40,111725,111757,M,15,EH,543,826,4.54
2019-09-30 15:40,2019-10-01 00:40,230027,111053,M,60,EH,549,34741,3.55
2019-09-30 15:40,2019-10-01 01:00,110047,110049,F,65,EH,562,444,4.66
2019-09-30 15:40,2019-10-01 01:00,110287,110897,F,20,EH,545,12092,2.19
2019-09-30 15:40,2019-10-01 01:00,110481,110620,F,15,HH,569,7228,4.10
2019-09-30 15:40,2019-10-01 01:00,110715,110809,M,20,EH,557,5154,2.72
2019-09-30 15:40,2019-10-01 01:00,111353,111392,M,75,EE,563,853,6.00
2019-09-30 15:40,2019-10-01 01:00,111415,111297,M,35,EE,563,3906,2.70
2019-09-30 15:40,2019-10-01 01:00,111428,320352,F,70,EE,556,171559,5.72
2019-09-30 15:40,2019-10-01 01:00,111432,110222,F,20,WH,566,7589,2.20
2019-09-30 15:40,2019-10-01 01:20,110629,110629,M,10,EH,574,1124,6.62
2019-09-30 15:40,2019-10-01 01:20,111705,111649,M,45,EE,580,3125,3.14
2019-09-30 15:40,2019-10-01 01:20,313096,110978,M,00,EE,582,45824,36.11
2019-09-30 15:40,2019-10-01 01:20,341119,110880,M,35,EH,586,150378,2.73
2019-09-30 15:40,2019-10-01 02:00,110162,312257,F,45,EH,610,36881,3.34
2019-09-30 15:40,2019-10-01 02:40,111539,312016,F,60,EW,655,41110,3.85
2019-09-30 15:40,2019-10-01 04:40,311952,110967,M,45,EE,798,56846,3.15
2019-09-30 15:40,2019-10-01 07:20,111729,330053,M,60,EE,936,94390,3.49
2019-09-30 15:40,2019-10-01 07:40,361461,110744,F,55,HE,958,355418,3.31
2019-09-30 15:40,2019-10-01 08:20,111300,310762,M,55,EE,992,53751,3.29
2019-09-30 15:40,2019-10-01 11:40,312809,110918,M,80,EW,1215,67951,9.51
2019-09-30 15:40,2019-10-01 11:40,370372,110146,M,35,EE,1198,189862,2.72
2019-09-30 15:40,2019-10-01 12:00,111740,320487,F,55,EE,1211,153830,3.23
2019-09-30 15:40,2019-10-01 15:00,111764,220549,M,40,EE,1389,222097,3.01
2019-09-30 15:40,2019-10-01 15:20,320846,110546,M,40,EE,1406,164805,2.99
2019-09-30 15:40,2019-10-01 15:20,341401,110830,M,30,EW,1411,99475,2.39
2019-09-30 16:00,2019-10-01 00:00,110049,110982,M,45,EH,494,13892,3.17
2019-09-30 16:00,2019-10-01 00:00,110798,110779,F,45,WH,486,2295,3.32
2019-09-30 16:00,2019-10-01 00:00,111422,111692,F,30,WH,466,7637,2.41
2019-09-30 16:00,2019-10-01 00:00,250334,110546,M,20,HE,480,136836,2.68
2019-09-30 16:00,2019-10-01 00:00,310751,110046,M,65,EH,483,36465,4.11
2019-09-30 16:00,2019-10-01 00:00,310881,111397,M,25,EH,470,41008,2.25
2019-09-30 16:00,2019-10-01 00:00,311619,110233,M,15,EE,476,30012,4.53
2019-09-30 16:00,2019-10-01 00:20,110206,110091,M,35,WH,491,4217,2.72
2019-09-30 16:00,2019-10-01 00:20,111136,111007,M,35,EE,497,5457,2.73
2019-09-30 16:00,2019-10-01 00:20,310891,111543,M,45,EH,492,27773,3.17
2019-09-30 16:00,2019-10-01 00:20,311414,110895,M,45,EE,490,23062,3.18
